address,symbol,name,chain,rise_hours,price_roc,volume_roc,holder_roc,ath,holders_at_ath,decay_hours,holder_decay_roc,price_decay_roc,total_hours,rise_pct,max_holders,mcap_at_end,start_idx,ath_idx,end_idx,cluster_id,rank
2k8yZaJjf61unHriuqdmvbxe7CUhEYML5kVJDbcotKjU,BFS,BFS,solana,472.0,387598.9017286017,114895.29086856976,293.5381355932203,183046681.6159,138550.0,73.0,425.54794520547944,-1883120.809060274,545.0,0.8660550458715597,169615.0,45578862.5545,1,473,546,5,6
8xHAL531iDVW9S2xsrWAFFEr1Yz71rR7RL7qPWGgBAGS,TOILET,The Toilet,solana,57.0,44019.925500000005,85114.47108651648,41.50877192982456,2609135.7535,2838.0,108.0,-1.5925925925925926,-17323.431496296296,165.0,0.34545454545454546,2971.0,738205.1519,7,64,172,5,6
CV38eqqRKfhvqZ5yyuwuNFGTfof1wYvNguJXt2mZDRMj,BEAM,Liora Nuclear Beam,solana,189.0,44801.78281746032,30654.455367043192,55.24338624338624,8567536.9525,11083.0,26.0,47.96153846153846,-234007.45483461538,215.0,0.8790697674418605,12330.0,2483343.1268,0,189,215,5,6
FbmmdcCYHL7WETG89xtWmNFMzQAaQ8Zs9NXVbimibonk,DONT,DisclaimerCoin,solana,8.0,3999018.8663,3472157.40866088,986.375,32092150.9304,10151.0,38.0,29.94736842105263,-595479.3783342105,46.0,0.17391304347826086,13186.0,9463934.5537,1,9,47,5,6
147uk4CFxsppdmKZUAakfLvduo4x459HiJ5Ct6MzJory,MGN,MangaNow,solana,498.0,7299.792744176707,5224.888945028009,2.9016064257028114,3735296.7866,1695.0,34.0,3.4705882352941178,-77095.63153529412,532.0,0.9360902255639098,1989.0,1114045.3144,76,557,591,1,5
VDRcRcMWJM7exwHfVUau1WqAawLXR8tNF2sJP7PaMyg,VDR,Vanguard Digital Reserve,solana,222.0,90783.81901576577,17901.94938448309,29.333333333333332,20254007.8215,6512.0,4.0,-92.25,-3583240.558275,226.0,0.9823008849557522,6523.0,5921045.5884,0,222,226,5,6
0x587cd533f418825521f3a1daa7ccd1e7339a1b07,STARKBOT,StarkBot,base,22.0,15012.076354545454,638.9893971065454,0.0,430265.6798,3048.0,510.0,-0.17254901960784313,-574.7824301960784,532.0,0.041353383458646614,3049.0,137126.6404,0,20,399,4,4
83Z2iQc2BASkFabxeM17WgurDJDTsBUFnr4rX64XBAGS,CLANKER,clanker_world,solana,460.0,3384.304456086956,10444.976640716328,0.6434782608695652,1656780.0498,984.0,376.0,-0.11170212765957446,-3360.9369771276592,836.0,0.5502392344497608,1158.0,393067.7464,5,465,825,1,5
0x852df602530532fb356adf25fbf0f6511b764b07,Dave,Dave the Minion,base,26.0,6243.651923076924,2447.3114567334237,-0.8846153846153846,262334.95,1299.0,273.0,-0.2783882783882784,-673.874728937729,299.0,0.08695652173913043,1322.0,78367.149,0,26,239,4,4
8opvqaWysX1oYbXuTL8PHaoaTiXD69VFYAX4smPebonk,WAR,WAR,solana,1071.0,59310.34475695612,78791.28787720276,76.42763772175537,63621379.2347,81854.0,98.0,36.05102040816327,-634254.2673792858,1169.0,0.9161676646706587,85926.0,1464461.03153,1,1072,1170,1,5
0xf30bf00edd0c22db54c9274b90d2a4c21fc09b07,FELIX,FELIX,base,12.0,328186.03040833335,35537.567989871,2.0833333333333335,4038232.3649,6376.0,275.0,-0.24,-10310.481816363636,287.0,0.041811846689895474,6436.0,1202849.8654,0,12,287,4,4
9S8edqWxoWz5LYLnxWUmWBJnePg35WfdYQp7HQkUpump,GOYIM,Goyim,solana,46.0,181889.3800478261,464618.01059138955,172.34782608695653,8466911.4822,9087.0,25.0,-20.8,-242558.92800400004,71.0,0.647887323943662,9631.0,2402938.2821,3,49,74,5,6
DALddkQK6BWC3fLNbtY3chzWGVTzABYwzkHrvAuupump,FOCUS,FOCUS,solana,14.0,153809.6741,565910.7873339938,249.5,2253335.4374,3854.0,1.0,-3085.0,-2241405.0853000004,15.0,0.9333333333333333,3854.0,11930.3521,8,22,23,2,2
Dwwsv9JyCw3Zxufe7E4YQFX4q9Nf12YzTiPwQHaxpump,LOTUS,Lion Of The United States,solana,5.0,2262394.45118,346859.0483877171,1684.6,11411972.2559,9574.0,1.0,3.0,-8463602.23645,6.0,0.8333333333333334,9577.0,2948370.01945,0,5,6,5,6
0xf27b8ef47842e6445e37804896f1bc5e29381b07,Doppel,Doppel,base,129.0,5895.401860465116,2689.5869033554186,0.1937984496124031,860506.84,1836.0,295.0,-0.13220338983050847,-1426.1074576271185,424.0,0.30424528301886794,1836.0,439805.14,0,127,399,1,5
G9YU3K1MiPTv7Krui5omkPBPP21GChPPE3c9izRKbonk,SAFEMOON,SafeMoon,solana,18.0,33299.88551666666,141070.6689649134,64.5,699397.9393,1837.0,14.0,10.571428571428571,-35560.18743571428,32.0,0.5625,2150.0,201555.3152,3,21,35,5,6
0x17cdcb666b0d2d3c1c1154fbedb1496fbdc554a3,USRX,United States RX,base,6.0,350887.9166666667,192254.2970030815,0.0,2205327.5,0.0,20.0,0.0,-20228.769999999997,26.0,0.23076923076923078,0.0,1800752.1,1,7,27,0,3
2DfBjrPFZjDTiCY6pxchS6aSdUdEpkm7PdqpovHjBAGS,???,Unknown,solana,673.0,1637.9252955423478,7763.875142948896,0.3937592867756315,1202323.7239,919.0,252.0,-0.07936507936507936,-3381.0669500000004,925.0,0.7275675675675676,1126.0,350294.8525,1,674,924,1,5
HTCiQqiJa4e2L7aB5heTVgb2FYJyWDr6XdgsHwr3MpLR,HTC,HTC,solana,22.0,354139.7231818182,85107.63615304136,318.77272727272725,7891073.91,7019.0,59.0,-3.305084745762712,-96386.73681864407,81.0,0.2716049382716049,7767.0,2204256.4377,1,23,82,5,6
8nvuWbvxrabbkEThNoiDMM44nVfP1JuEuVNNCwqQpVTd,DOME,Golden Dome Reserve,solana,79.0,137658.28301392405,12057.937971097088,28.911392405063292,10975004.3581,2376.0,35.0,18.6,-227420.44426857145,114.0,0.6929824561403509,3027.0,3015288.8087,1,80,115,5,6
fH1YDRu48pBwedxhNxTRSLsriqx3ysUntRbKMtkpump,ALIENJAK,Alienjak,solana,5.0,1658054.09902,1822442.1550196887,1126.0,8390270.4951,6407.0,3.0,-103.0,-2243746.485036667,8.0,0.625,6968.0,1659031.03999,0,5,8,2,2
